epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.3411,0.97566,2.82341,1.07618,0.14157,0.76271,0.57436,0.42085,0.8109,3.06309,0.94713,0.00048,0.00048,0.00048
2,113.8,0.98994,2.05054,1.10553,1,0.1573,0.68502,0.46365,1.09039,2.89699,1.1217,0.00088298,0.00088298,0.00088298
3,169.864,1.05235,1.95806,1.14357,0.84937,0.59322,0.74452,0.53984,1.0588,2.21122,1.12456,0.00118696,0.00118696,0.00118696
4,225.94,1.0866,1.79408,1.17148,0.917,0.66102,0.74716,0.56369,1.07576,1.92951,1.24507,0.00139194,0.00139194,0.00139194
5,283.169,1.04332,1.66317,1.15265,0.65395,0.62712,0.67531,0.47825,1.04239,2.15595,1.17026,0.001208,0.001208,0.001208
6,340.743,1.07514,1.50366,1.16276,0.86631,0.79661,0.87339,0.67003,0.83248,1.60197,0.9755,0.00101,0.00101,0.00101
7,398.368,0.99241,1.28937,1.0986,1,0.77863,0.89518,0.64999,0.98064,1.21782,1.06895,0.000812,0.000812,0.000812
8,456.471,0.86171,1.17141,1.02553,1,0.80321,0.91148,0.71815,0.79805,1.05008,0.93986,0.000614,0.000614,0.000614
9,514.29,0.83762,1.08797,0.9989,0.93586,0.83051,0.92459,0.7831,0.63357,0.89669,0.86683,0.000416,0.000416,0.000416
10,572.187,0.78024,1.03772,0.99593,0.94407,0.86441,0.91878,0.77235,0.67453,0.95079,0.88184,0.000218,0.000218,0.000218
